Upplýsingar úr Slysaskrá Samgöngustofu;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
DAGS;TÍMI;MEIÐSLI;STAÐSETNING;FLOKKUR;ÖKUTÆKI1;ÖKUTÆKI2;ÖKUTÆKI3;ÖKUTÆKI4;ÖKUTÆKI5;SLASAÐIR1;SLASAÐIR2;SLASAÐIR3;SLASAÐIR4;SLASAÐIR5;SLASAÐIR6
27.1.2024;12:17:00;Alvarleg slys;Suðurlandsvegur, Þjórsárbrú  -  Á eða við brú;Hliðarákeyrsla;Vörubifreið I;Fólksbifreið;Fólksbifreið;;;43 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
25.1.2024;06:53:00;Alvarleg slys;Njarðarbraut, Fitjar, við  -  Á eða við akbraut;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;39 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;18 ára Kona, Ökumaður, Fólksbifreið, Lítið slasaður;;;;
23.1.2024;13:24:00;Alvarleg slys;Hvalfjarðarvegur, Galtarholt, vestan við  -  Á eða við akbraut;Útafakstur og bílveltur;Fólksbifreið;;;;;24 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;;;;;
15.1.2024;15:07:00;Alvarleg slys;Garðavegur,  -  Á eða við akbraut;Útafakstur og bílveltur;Fólksbifreið;;;;;33 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
10.1.2024;16:08:00;Alvarleg slys;Reykjanesbraut, Hamraberg;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;Fólksbifreið;;;;56 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
4.1.2024;09:28:00;Alvarleg slys;Við Kotabyggð 8;Útafakstur og bílveltur;Vörubifreið II;;;;;30 ára Karl, Farþegi í framsæti, Vörubifreið II, Alvarlega slasaður;;;;;
1.1.2024;14:06:00;Alvarleg slys;Reykjanesbraut  -  Hvassahraun ;Útafakstur og bílveltur;Fólksbifreið;;;;;29 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
27.12.2023;18:00:00;Alvarleg slys;Salavegur, Arnarnesvegur, við  -  Á eða við akbraut;Hliðarákeyrsla;Fólksbifreið;Hópbifreið II;;;;28 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;27 ára Karl, Ökumaður, Hópbifreið II, Lítið slasaður;;;;
20.12.2023;17:58:00;Alvarleg slys;Hringvegur, Berufjörður  -  Á eða við akbraut;Útafakstur og bílveltur;Fólksbifreið;;;;;28 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Alvarlega slasaður;31 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;35 ára Kona, Ökumaður, Fólksbifreið, Lítið slasaður;;;
16.12.2023;20:43:00;Alvarleg slys;Biskupstungnabraut, Skálholtsvegur, við;Útafakstur og bílveltur;Sendibifreið;;;;;0 ára Karl, Farþegi í aftursæti h, Sendibifreið, Alvarlega slasaður;25 ára Kona, Farþegi í aftursæti v, Sendibifreið, Lítið slasaður;;;;
16.12.2023;09:58:00;Alvarleg slys;Hraunsveigur, Búrfelssvegur, við  -  Á eða við akbraut;Útafakstur og bílveltur;Þungt bifhjól;;;;;59 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;5 ára Karl, Farþegi í framsæti, Þungt bifhjól, Lítið slasaður;5 ára Karl, Farþegi í framsæti m, Þungt bifhjól, Lítið slasaður;;;
15.12.2023;20:58:00;Alvarleg slys;Garðskagavegur, Við Leiruna  -  Á eða við akbraut;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;31 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;36 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;
13.12.2023;20:46:00;Alvarleg slys;Þrengslavegur, Stóri meitill, við;Útafakstur og bílveltur;Fólksbifreið;;;;;32 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
13.12.2023;17:41:00;Alvarleg slys;Skógarlind, Bílaplanið  -  ;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;Fólksbifreið;;;;10 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
12.12.2023;15:29:00;Alvarleg slys;Krossmói, framan við strætóstoppustöðina  -  Á eða við akbraut;Slys á óvörðum vegfaranda;Sendibifreið;;;;;9 ára Karl, Fótgangandi, Sendibifreið, Alvarlega slasaður;;;;;
8.12.2023;17:08:00;Alvarleg slys;Skagabraut, Einarsbúð, móts við  -  Á eða við akbraut;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;27 ára Kona, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
1.12.2023;16:40:00;Alvarleg slys;Hlíðasmári, Smárahvammsvegur;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;42 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
1.12.2023;13:25:00;Alvarleg slys;Suðurlandsvegur, Kambar  -  Á eða við akbraut;Aftanákeyrsla;Fólksbifreið;Fólksbifreið;Sendibifreið;;;37 ára Kona, Ökumaður, Fólksbifreið, Lítið slasaður;68 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;56 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;69 ára Karl, Ökumaður, Sendibifreið, Lítið slasaður;;
30.11.2023;16:17:00;Alvarleg slys;Lyngbrekka, fyrir framan no. 5;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;9 ára Karl, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
30.11.2023;16:11:00;Alvarleg slys;Hringvegur, Austan við Kross  -  Utan vegar;Útafakstur og bílveltur;Fólksbifreið;;;;;37 ára Karl, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;60 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;
28.11.2023;17:50:00;Alvarleg slys;Erlurimi, Göngubraut við Sunnulækjaskóla  -  Gangbraut;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;Fólksbifreið;;;;11 ára Kona, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
28.11.2023;15:43:00;Alvarleg slys;Þrengslavegur, við Suðurlandsveg  -  Á eða við akbraut;Hliðarákeyrsla;Vörubifreið II;Fólksbifreið;;;;27 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
28.11.2023;11:53:00;Alvarleg slys;Eyjafjarðarbraut vestri, Hranastaðir, við  -  Á eða við akbraut;Útafakstur og bílveltur;Vörubifreið II;;;;;65 ára Karl, Ökumaður, Vörubifreið II, Alvarlega slasaður;;;;;
27.11.2023;07:12:00;Alvarleg slys;Miklabraut, vesturátt, strætóstopp við Kringluna/Safamýri  -  Á eða við akbraut;Aftanákeyrsla;Fólksbifreið;Hópbifreið II;;;;42 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
26.11.2023;14:20:00;Alvarleg slys;Dalsbraut, Stóragerði, við  -  Á eða við akbraut;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;76 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
26.11.2023;10:54:00;Alvarleg slys;Siglufjarðarvegur, Kirkjugarður, austan við  -  Á eða við akbraut;Ekið á hlut á eða við akbraut;Fólksbifreið;;;;;29 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
24.11.2023;15:14:00;Alvarleg slys;Norðurlandsvegur, Laufás, þar við  -  Á eða við akbraut;Útafakstur og bílveltur;Fólksbifreið;;;;;26 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;56 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;;;
24.11.2023;14:30:00;Alvarleg slys;Vesturlandsvegur, Holtavörðuheiði  -  Á eða við akbraut;Útafakstur og bílveltur;Hópbifreið II;;;;;28 ára Karl, Farþegi í aftursæti v, Hópbifreið II, Alvarlega slasaður;49 ára Kona, Farþegi í aftursæti h, Hópbifreið II, Lítið slasaður;;;;
21.11.2023;20:34:00;Alvarleg slys;Hringvegur, Fagridalur - Reyðarfjarðarmegin -  ;Slys á óvörðum vegfaranda;Fólksbifreið;Vörubifreið II;;;;58 ára Karl, Fótgangandi, Vörubifreið II, Alvarlega slasaður;;;;;
19.11.2023;16:05:00;Alvarleg slys;Dalvegur, móts við nr. 2  -  Á eða við bifreiðastæði;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;Fólksbifreið;;;;31 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
11.11.2023;17:11:00;Alvarleg slys;Flugvallarvegur, Flugvöllur, skammt frá  -  Á eða við akbraut;Aftanákeyrsla;Fólksbifreið;Fólksbifreið;;;;18 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;66 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;;;
11.11.2023;16:44:00;Alvarleg slys;Suðurlandsvegur, Hótel Rangá, við  -  Á eða við akbraut;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;67 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;63 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;25 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;27 ára Kona, Farþegi í aftursæti v, Fólksbifreið, Lítið slasaður;63 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;63 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður
11.11.2023;13:34:00;Alvarleg slys;Mýrarbraut 21, móts við  -  Á eða við akbraut;Slys á óvörðum vegfaranda;Reiðhjól;Fólksbifreið;;;;6 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
11.11.2023;10:26:00;Alvarleg slys;Elliðadalur;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;;;;;64 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
7.11.2023;12:53:00;Alvarleg slys;Hverfisgata, við Ingólfsstræti  -  Á/við gatnamót;Slys á óvörðum vegfaranda;Reiðhjól;Fólksbifreið;;;;26 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
6.11.2023;13:36:00;Alvarleg slys;Aðaltjörn  - Grundartjörn;Slys á óvörðum vegfaranda;Reiðhjól;;;;;7 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
6.11.2023;08:28:00;Alvarleg slys;Bústaðavegur  -  hjólastígur - Valsheimili ;Slys á óvörðum vegfaranda;Reiðhjól;Reiðhjól;;;;57 ára Kona, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
5.11.2023;00:46:00;Alvarleg slys;Fensalir 12 - göngustígur á;Ekið á hlut á eða við akbraut;Létt bifhjól;;;;;15 ára Karl, Ökumaður reiðhjóls, Létt bifhjól, Alvarlega slasaður;;;;;
3.11.2023;18:15:00;Alvarleg slys;Þingvallastræti  -  hjá KA heimilinu ;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;58 ára Kona, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
3.11.2023;07:40:00;Alvarleg slys;Hlíðarbraut  -  Baldursnes, við ;Slys á óvörðum vegfaranda;Reiðhjól;;;;;56 ára Kona, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
2.11.2023;12:48:00;Alvarleg slys;Ólafsfjarðarvegur, ;Útafakstur og bílveltur;Fólksbifreið;;;;;18 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
26.10.2023;20:10:00;Alvarleg slys;Vesturlandsvegur, Holtvörðuvatn, við  -  Á eða við akbraut;Framanákeyrsla;Fólksbifreið;Fólksbifreið;Fólksbifreið;Fólksbifreið;;49 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;49 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;51 ára Karl, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;;;
25.10.2023;15:44:00;Alvarleg slys;Austurvegur 46-48, ;Slys á óvörðum vegfaranda;Hópbifreið I;;;;;53 ára Karl, Fótgangandi, Hópbifreið I, Alvarlega slasaður;;;;;
24.10.2023;12:15:00;Alvarleg slys;Vatnsendavegur  -   gangstétt móts við Krónuna;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;;;;;14 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
23.10.2023;22:09:00;Alvarleg slys;Litlatún  -  Goðatún gatnamót;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;;;;;14 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
22.10.2023;16:12:00;Alvarleg slys;Bjarkarholt,   -  Á eða við akbraut;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;18 ára Kona, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
21.10.2023;09:12:00;Alvarleg slys;Flugstöð Leifs Eiríkssonar, komustæði;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;33 ára Karl, Fótgangandi, Fólksbifreið, Alvarlega slasaður;;;;;
19.10.2023;23:53:00;Alvarleg slys;Vatnsendahvarf, ;Aftanákeyrsla;Fólksbifreið;Fólksbifreið;;;;22 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;22 ára Karl, Farþegi í aftursæti v, Fólksbifreið, Lítið slasaður;26 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;22 ára Karl, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;40 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;
18.10.2023;23:33:00;Alvarleg slys;Breiðholtsbraut, Vatnsendahvarf, austan við;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;18 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;76 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;
18.10.2023;11:16:00;Alvarleg slys;Laxárdalsvegur, Svarfhóll, við  -  Á eða við akbraut;Hliðarákeyrsla;Dráttarvél;Fólksbifreið;;;;53 ára Karl, Ökumaður, Dráttarvél, Alvarlega slasaður;;;;;
18.10.2023;08:27:00;Alvarleg slys;Langirimi,   -  Í/við hringtorg;Slys á óvörðum vegfaranda;Reiðhjól;Fólksbifreið;;;;13 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
12.10.2023;20:30:00;Alvarleg slys;Skeiða- og Hrunamannavegur, Hrunavegur, við;Útafakstur og bílveltur;Fólksbifreið;;;;;15 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;20 ára Karl, Farþegi í aftursæti v, Fólksbifreið, Lítið slasaður;45 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;46 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;;
6.10.2023;22:04:00;Alvarleg slys;Grensásvegur  -  Heiðargerði, við gangstétt;Slys á óvörðum vegfaranda;Reiðhjól;;;;;57 ára Kona, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
4.10.2023;11:05:00;Alvarleg slys;Norðausturvegur, Mýrarkvísl, við;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;67 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;69 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;;;;
1.10.2023;15:17:00;Alvarleg slys;Framan við Suðurhóla 8  -   ;Slys á óvörðum vegfaranda;Reiðhjól;Fólksbifreið;;;;26 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
30.9.2023;03:19:00;Alvarleg slys;Lækjargata  -  Hverfisgata, við;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;;;;;30 ára Kona, Fótgangandi, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
30.9.2023;01:32:00;Alvarleg slys;Miklabraut  -  Klambratún, móts við;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;;;;;34 ára Kona, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
29.9.2023;22:28:00;Alvarleg slys;Göngustígur fyrir neðan Sunnubraut;Slys á óvörðum vegfaranda;Reiðhjól;;;;;46 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
29.9.2023;18:20:00;Alvarleg slys;Skeifan  -  er fyrir utan Bónus;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;;;;;30 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
28.9.2023;14:58:00;Alvarleg slys;Þykkvabæjarvegur, Hrafntóftir  -  Á eða við akbraut;Framanákeyrsla;Sendibifreið;Fólksbifreið;;;;45 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;71 ára Karl, Ökumaður, Sendibifreið, Lítið slasaður;;;;
22.9.2023;18:40:00;Alvarleg slys;Hulduland/Geitland  ;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;;;;;26 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
21.9.2023;17:25:00;Alvarleg slys;Mjódd  -  Undirgöng, vestan við;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;;;;;30 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
19.9.2023;09:17:00;Alvarleg slys;Engjavegur við Iðu íþróttahús-  FSU, við;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;;;;;17 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
18.9.2023;11:27:00;Alvarleg slys;Suðurlandsvegur, Fosshótel Hnappavellir, þar við  -  Á eða við akbraut;Slys á óvörðum vegfaranda;Sendibifreið;;;;;33 ára Kona, Fótgangandi, Sendibifreið, Alvarlega slasaður;;;;;
17.9.2023;10:46:00;Alvarleg slys;Stekkjarbakki, Grænistekkur, austan við;Útafakstur og bílveltur;Vörubifreið I;Fólksbifreið;;;;55 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;50 ára Karl, Ökumaður, Vörubifreið I, Lítið slasaður;;;;
17.9.2023;06:49:00;Alvarleg slys;Breiðdalsvegur, Fellsásveg, Við;Útafakstur og bílveltur;Sendibifreið;;;;;25 ára Kona, Ökumaður, Sendibifreið, Alvarlega slasaður;;;;;
17.9.2023;01:43:00;Alvarleg slys;Miklabraut  -  Kringulumýrarbraut ;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;;;;;32 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
16.9.2023;12:42:00;Alvarleg slys;Skjaldbreiðarvegur, Haukadalsvegur, við  -  Á eða við blindhæð;Framanákeyrsla;Þungt bifhjól;Þungt bifhjól;;;;45 ára Karl, Ökumaður, Þungt bifhjól, Lítið slasaður;37 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;
16.9.2023;00:43:00;Alvarleg slys;Norðurlandsvegur, Þórodsstaðir, sunnan við;Útafakstur og bílveltur;Fólksbifreið;;;;;17 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;17 ára Karl, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;;;;
15.9.2023;15:15:00;Alvarleg slys;Sólvangsvegur  -  Álfaskeið 64E, við;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;Reiðhjól;;;;38 ára Kona, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
15.9.2023;04:15:00;Alvarleg slys;Djúpvegur, Aratunguá, við  -  Á eða við akbraut;Annað;Fólksbifreið;;;;;1 ára Karl, Farþegi í aftursæti h, Fólksbifreið, Lítið slasaður;29 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;29 ára Kona, Farþegi í aftursæti m, Fólksbifreið, Alvarlega slasaður;38 ára Karl, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;;
14.9.2023;18:07:00;Alvarleg slys;Strandavegur, við veginn;Fall af bifhjóli;Þungt bifhjól;;;;;33 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
13.9.2023;20:35:00;Alvarleg slys;Kringlumýrarbraut, í átt að Kringlu  -  Á eða við akbraut;Fall af bifhjóli;Þungt bifhjól;Þungt bifhjól;Þungt bifhjól;;;54 ára Karl, Ökumaður, Þungt bifhjól, Lítið slasaður;30 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;
13.9.2023;16:09:00;Alvarleg slys;Dalsbraut,   -  Á/við gatnamót;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;19 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
10.9.2023;20:35:00;Alvarleg slys;Lyngdalsheiðarvegur, Laugarvatnsrétt, vestan  -  Á eða við akbraut;Aftanákeyrsla;Sendibifreið;Fólksbifreið;;;;16 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Alvarlega slasaður;16 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;18 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;
10.9.2023;01:29:00;Alvarleg slys;Eyjafjarðarbraut vestri, Klauf, við;Ekið á dýr;Fólksbifreið;;;;;17 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
8.9.2023;05:15:00;Alvarleg slys;Norðurlandsvegur, Brekka, við;Útafakstur og bílveltur;Hópbifreið II;;;;;53 ára Kona, Farþegi í aftursæti h, Hópbifreið II, Lítið slasaður;30 ára Kona, Ökumaður, Hópbifreið II, Lítið slasaður;47 ára Kona, Farþegi í aftursæti h, Hópbifreið II, Alvarlega slasaður;44 ára Karl, Farþegi í aftursæti v, Hópbifreið II, Alvarlega slasaður;50 ára Kona, Farþegi í aftursæti h, Hópbifreið II, Alvarlega slasaður;37 ára Karl, Farþegi í aftursæti h, Hópbifreið II, Alvarlega slasaður
6.9.2023;18:20:00;Alvarleg slys;Hvalfjarðarvegur, ;Fall af bifhjóli;Þungt bifhjól;;;;;58 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
6.9.2023;14:24:00;Alvarleg slys;"Norðausturvegur, Vopnafjarðarheiði; veðurstöð, við  -  Utan vegar";Útafakstur og bílveltur;Fólksbifreið;;;;;67 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;66 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;;;
5.9.2023;14:00:00;Alvarleg slys;Vesturlandsvegur, Hvammskirkja  -  Á eða við akbraut;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;59 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;68 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;64 ára Karl, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;63 ára Kona, Ökumaður, Fólksbifreið, Lítið slasaður;;
4.9.2023;17:49:00;Alvarleg slys;Suðurströnd  -  Nesvöllur ;Slys á óvörðum vegfaranda;Reiðhjól;;;;;13 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
3.9.2023;08:29:00;Alvarleg slys;Hafnarfjarðarvegur, Gatnamót;Aftanákeyrsla;Fólksbifreið;Fólksbifreið;;;;37 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
31.8.2023;17:34:00;Alvarleg slys;Sæbraut  -  þar sem guli vitinn er.  Á reiðhjólastíg.  -  ;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;Reiðhjól;;;;15 ára Karl, Ökumaður reiðhjóls, Ökutæki ekki í Ekju, Alvarlega slasaður;51 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Lítið slasaður;;;;
30.8.2023;14:07:00;Alvarleg slys;Skeifan 8, við  - bifreiðastæði;Slys á óvörðum vegfaranda;Reiðhjól;Fólksbifreið;;;;54 ára Kona, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
30.8.2023;07:48:00;Alvarleg slys;Vesturlandsvegur, Hringtorg við Þingvallarveg  -  Á eða við akbraut;Fall af bifhjóli;Þungt bifhjól;;;;;58 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
28.8.2023;11:30:00;Alvarleg slys;Miklabraut, vestan við Kringlumýrarbraut, í vesturátt  -  Á eða við akbraut;Fall af bifhjóli;Þungt bifhjól;;;;;24 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
25.8.2023;15:16:00;Alvarleg slys;Göngustígur við Höfnina Drottningarbraut;Slys á óvörðum vegfaranda;Reiðhjól;Reiðhjól;;;;34 ára Kona, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;49 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;
24.8.2023;07:54:00;Alvarleg slys;Þórunnarstræti  -  Höfðagata, við;Slys á óvörðum vegfaranda;Reiðhjól;;;;;15 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
23.8.2023;02:31:00;Alvarleg slys;Norðurlandsvegur, Stóra-Giljá, við;Útafakstur og bílveltur;Fólksbifreið;;;;;17 ára Kona, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;;;
21.8.2023;16:19:00;Alvarleg slys;Göngustígur við Rimaflöt;Slys á óvörðum vegfaranda;Reiðhjól;;;;;31 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
21.8.2023;14:02:00;Alvarleg slys;Aðalgata, Á gangbraut  -  Gangbraut;Slys á óvörðum vegfaranda;Reiðhjól;Fólksbifreið;;;;7 ára Kona, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
20.8.2023;23:05:00;Alvarleg slys;Krýsuvíkurvegur, Kleifarvatn, við;Fall af bifhjóli;Þungt bifhjól;;;;;52 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
20.8.2023;17:03:00;Alvarleg slys;Skjaldbreiðarvegur,  ;Fall af bifhjóli;Þungt bifhjól;;;;;68 ára Karl, Ökumaður, Þungt bifhjól, Alvarlega slasaður;;;;;
19.8.2023;19:47:00;Alvarleg slys;Ólafsfjarðarvegur, Hólar, þar við;Útafakstur og bílveltur;Sendibifreið;;;;;31 ára Karl, Ökumaður, Sendibifreið, Alvarlega slasaður;;;;;
19.8.2023;17:02:00;Alvarleg slys;Maríugata, beint fyrir utan  -  Á eða við akbraut;Slys á óvörðum vegfaranda;Ökutæki ekki í Ekju;Fólksbifreið;;;;6 ára Kona, Fótgangandi, Ökutæki ekki í Ekju, Alvarlega slasaður;;;;;
15.8.2023;16:20:00;Alvarleg slys;Hvaleyrarbraut, Brekkutröð, við  -  Á eða við akbraut;Slys á óvörðum vegfaranda;Reiðhjól;Fólksbifreið;;;;48 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Alvarlega slasaður;;;;;
